,CODIGO_INFORME_TECNICO,PHEV_AUTO_INTERURB_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,MODELO,AUTOP_PHEV_RURAL_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,FECHA_HOML,HCHO_EMISION_EPA_MGKM,URB_REND_WLTC_KML,PHEV_REND_COMBUSTIBLE_VH_PONDERADO_KML,PESO_BRUTO_VH_KG,POND_PHEV_EMIS_CO2_WLTC_VH_GKM,PHEV_REND_EV_CONSUM_PONDERADO_CD_CARGA_VH_WLTC_WHKM,CO2_VH_GASOL_GLP_GNC_GRKM,COMB_PHEV_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,EV_PHEV_REND_VH_PONDERADO_KMKWH,URB_AUTOP_PHEV_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,REND_LOW_H2_KG_100_KM_FCEV_VH_CELDA,NMOG_EMISION_EPA_GKM,AUTOP_PHEV_RURAL_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,TRANSMISION,MIXTO_CO2_VH_GASOL_GLP_GNC_GRKM,PHEV_REND_EV_CONSUM_PONDERADO_CS_MANTEN_CARGA_VH_WLTC_WHKM,MIXTO_REND_COMBUSTIBLE_KML,PHEV_PONDERADO_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,COMB_PHEV_REND_EV_CONSUM_CD_CARGA_VH_WLTC_WHKM,EV_MOTOR_POT_MAX_KW,TIPO_CARROCERIA,CILINDRADA_LTS,CARRETERA_REND_COMBUSTIBLE_KML,REND_HIGHT_H2_KG_100_KM_FCEV_VH_CELDA,ANCHO_VH_MM,EMISION_NPS_KM_EU_KM,REND_EV_PHEV_CD_CONSUM_CARGA_VH_WLTC_KMKWH,CARRETERA_REND_GASOL_VH_GLP_GNC_KML,CIUDAD_REND_COMBUSTIBLE_KML,REND_EV_PHEV_PONDERADO_CS_MANTEN_CARGA_VH_WLTC_CONSUM_KMKWH,NOX_EMISION_EPA_GKM,CO2_PHEV_REND_PONDERADO_VH_GKM,HC_NOX_EMISION_EU_GKM,FOOT_PRINT_MT2,EMIS_NORMA,CIUDAD_REND_GLP_GNC_VH_GASOL_KML,NOX_EMISION_EU_GKM,PHEV_PONDERADO_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,COMB_PHEV_REND_EV_CONSUM_CS_MANTEN_CARGA_VH_WLTC_WHKM,HCHO_EMISION_EU_MGKM,IMPORTADOR,CIUDAD_REND_GASOL_VH_GLP_GNC_KML,CATEGORIA_VH,HC_EMISION_EU_GKM,URB_PHEV_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,DIST_EJES_MM,COMB_REND_WLTC_KML,AUTOP_REND_RURAL_WLTC_KML,REND_EV_PHEV_CS_MANTEN_CARGA_VH_WLTC_CONSUM_KMKWH,MP_EMISION_MASA_PARTICULAS_EU_GKM,COMB_CS_PHEV_EMIS_CO2_WLTC_VH_GKM,PROPULSION,CARRETERA_REND_GLP_GNC_VH_GASOL_KML,EMIS_CO2_GKM,COMB_CD_PHEV_EMIS_CO2_WLTC_VH_GKM,PHEV_AUTO_INTERURB_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,CO_EMISION_EU_GKM,EV_MOTOR_POT_MAX_KW_1,MIXTO_REND_GASOL_VH_GLP_GNC_KML,CERT,CO2_COMB_GKM,REND_AUTO_INTERURB_WLTC_KML,URB_AUTOP_REND_URBANA_WLTC_KML,MARCA,REND_EV_VH_KMKWH,HCNM_EMISION_EPA_GKM,HCNM_EMISION_EU_GKM,NMOG_NOX_EMISION_EPA,HC_EMISION_EPA_GKM,N2O_EMISION_EPA,URB_AUTOP_PHEV_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,REND_EV_PHEV_PONDERADO_CD_CONSUM_CARGA_VH_WLTC_KMKWH,URB_PHEV_CS_MANTEN_CARGA_WLTC_VH_CONSUM_COMBUSTIBLE_KML,COMBUSTIBLE,MIXTO_REND_GLP_GNC_VH_GASOL_KML,NMOG_EMISION_EU_GKM,CO_EMISION_EPA_GKM,ART_DS_MTT_ESTD_SUP,MP_EMISION_EPA_MASA_PARTICULAS_GKM,COMB_PHEV_CD_CONSUM_CARGA_WLTC_VH_COMBUSTIBLE_KML,AÑO,CATEGORIA_PROPULSION,TIPO_LDV,REND_EQUIV_KML,EMIS_CO2_EQUIV,N2O_GKM,MP_GKM,NP,HCHO_MGKM,HC_GKM,HC_NOX_GKM,HCNM_GKM,NMOG_NOX_GKM,NOX_GKM,NMOG_GKM,CO_GKM,RUT,IMP_COD
15,BR4957E41212S,-,"euphoria (h530) 1,6 lts. dohc sedan 4p. t/m motor otto",-,2013-01-08,,-,-,1630.0,-,-,,-,-,-,,,-,M,-,-,13.8,-,-,-,sedan,1.6,16.3,-,1789,,-,-,10.9,-,,,,4.8303,euro 4,-,0.0212,-,-,,Automotores Gildemeister SPA,-,lpo,0.0433,-,2700,,-,-,,-,combustion,-,172.0,-,-,0.3628,-,,C.H. 3305,-,-,-,brilliance,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.8,172.0,0.0,0.0,0.0,0.0,0.02165,0.0,0.0,0.0,0.0106,0.0,0.1814,79.649.140-K,GILD79649140K
16,BR4957E41212S,-,"euphoria (h530) 1,6 lts. dohc hatchback 5p. t/m motor otto",-,2013-01-08,,-,-,1630.0,-,-,,-,-,-,,,-,M,-,-,13.8,-,-,-,hatchback,1.6,16.3,-,1789,,-,-,10.9,-,,,,4.8303,euro 4,-,0.0212,-,-,,Automotores Gildemeister SPA,-,lpo,0.0433,-,2700,,-,-,,-,combustion,-,172.0,-,-,0.3628,-,,C.H. 3305,-,-,-,brilliance,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.8,172.0,0.0,0.0,0.0,0.0,0.02165,0.0,0.0,0.0,0.0106,0.0,0.1814,79.649.140-K,GILD79649140K
17,DD4921T241112S00-9,-,"dart sxt 2,0 lts. i4 dohc sedan 4p. t/a motor otto",-,2013-01-16,0.0,-,-,1944.0,-,-,,-,-,-,,0.002,-,A,-,-,11.0,-,-,-,sedan,2,13.5,-,1829,,-,-,8.2,-,0.007,,,4.943787,tier 2 b4,-,,-,-,,comercial chrysler s.p.a.,-,lpo,,-,2703,,-,-,,-,combustion,-,217.0,-,-,,-,,C.H. 3306,-,-,-,dodge,,,-,,,,-,-,-,gasolina,-,,0.81,,,-,2013,ice,liviano,11.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.001,0.405,,
18,DD4921T241112S01-3,-,"dart limited 2,0 lts. i4 dohc sedan 4p. t/a motor otto",-,2013-01-16,0.0,-,-,1944.0,-,-,,-,-,-,,0.002,-,A,-,-,11.0,-,-,-,sedan,2,13.5,-,1829,,-,-,8.2,-,0.007,,,4.943787,tier 2 b4,-,,-,-,,comercial chrysler s.p.a.,-,lpo,,-,2703,,-,-,,-,combustion,-,217.0,-,-,,-,,C.H. 3306,-,-,-,dodge,,,-,,,,-,-,-,gasolina,-,,0.81,,,-,2013,ice,liviano,11.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.001,0.405,,
19,DD4921T241112S02-8,-,"dart se 2,0 lts. i4 dohc sedan 4p. t/a motor otto",-,2013-01-16,0.0,-,-,1944.0,-,-,,-,-,-,,0.002,-,A,-,-,11.0,-,-,-,sedan,2,13.5,-,1829,,-,-,8.2,-,0.007,,,4.943787,tier 2 b4,-,,-,-,,comercial chrysler s.p.a.,-,lpo,,-,2703,,-,-,,-,combustion,-,217.0,-,-,,-,,C.H. 3306,-,-,-,dodge,,,-,,,,-,-,-,gasolina,-,,0.81,,,-,2013,ice,liviano,11.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.001,0.405,,
20,FT4966E51112S00-3,-,"fiorino cargo city 1,2 lts. dohc furgon 5p. t/m motor diesel",-,2013-01-08,,-,-,1700.0,-,-,,-,-,-,,,-,M,-,-,18.4,-,-,-,furgon,1.2,21.6,-,1716,,-,-,14.6,-,,,0.1993,4.312308,euro 5,-,0.1582,-,-,,comercial itala s.a.,-,cc1d,,-,2513,,-,-,0.0032,-,combustion,-,144.0,-,-,0.3179,-,,C.H. 3307,-,-,-,fiat,,,-,,,,-,-,-,diesel,-,,,,,-,2013,ice,liviano,16.01,144.0,0.0,0.0016,0.0,0.0,0.0,0.1993,0.0,0.0,0.0791,0.0,0.15895,,
21,RM4966E51117S00-7,-,"ram van 700 city 1,2 lts. furgon 5p. t/m diesel",-,2017-11-22,,-,-,1700.0,-,-,,-,-,-,,,-,M,-,-,18.4,-,-,-,furgon,1.2,21.6,-,1716,,-,-,14.6,-,,,0.1993,4.312308,euro 5,-,0.1582,-,-,,Astara Chile SPA,-,cc1d,,-,2513,,-,-,0.0032,-,combustion,-,144.0,-,-,0.3179,-,,C.H. 3307,-,-,-,ram,,,-,,,,-,-,-,diesel,-,,,,,-,2017,ice,liviano,16.01,144.0,0.0,0.0016,0.0,0.0,0.0,0.1993,0.0,0.0,0.0791,0.0,0.15895,96.861.240-9,ASTA968612409
22,MT4954E5121400-4,-,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/m motor diesel",-,2013-01-09,,-,-,2710.0,-,-,,-,-,-,,,-,M,-,-,11.7,-,-,-,station wagon,2.5,13.2,-,1815,,-,-,9.9,-,,,0.19783,5.082,euro 5,-,0.15792,-,-,,mmc chile s.a.,-,mc3d,,-,2800,,-,-,0.00103,-,combustion,-,225.0,-,-,0.20216,-,,C.H. 3308,-,-,-,mitsubishi,,,-,,,,-,-,-,diesel,-,,,,,-,2013,ice,mediano,10.18,225.0,0.0,0.000515,0.0,0.0,0.0,0.19783,0.0,0.0,0.07896,0.0,0.10108,,
23,MT4953E5111200-8,-,"l200 dakar crs hp 2,5 lts. crdi 16v dohc pick up doble cabina 4p. 4x4 t/m motor diesel",-,2013-01-10,,-,-,2850.0,-,-,,-,-,-,,,-,M,-,-,11.2,-,-,-,camioneta,2.5,12.6,-,1750,,-,-,9.3,-,,,0.2195,5.25,euro 5,-,0.1822,-,-,,mmc chile s.a.,-,mc3d,,-,3000,,-,-,0.0037,-,combustion,-,236.0,-,-,0.1371,-,,C.H. 3309,-,-,-,mitsubishi,,,-,,,,-,-,-,diesel,-,,,,,-,2013,ice,mediano,9.74,236.0,0.0,0.00185,0.0,0.0,0.0,0.2195,0.0,0.0,0.0911,0.0,0.06855,,
24,MT4950E5111200-1,-,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/m motor diesel",-,2013-01-10,,-,-,2710.0,-,-,,-,-,-,,,-,M,-,-,11.3,-,-,-,station wagon,2.5,13,-,1815,,-,-,9.3,-,,,0.2273,5.082,euro 5,-,0.192,-,-,,mmc chile s.a.,-,mc3d,,-,2800,,-,-,0.0024,-,combustion,-,233.0,-,-,0.2039,-,,C.H. 3310,-,-,-,mitsubishi,,,-,,,,-,-,-,diesel,-,,,,,-,2013,ice,mediano,9.83,233.0,0.0,0.0012,0.0,0.0,0.0,0.2273,0.0,0.0,0.096,0.0,0.10195,,
25,MT4942E5111400-K,-,"montero sport g2 2,5 lts. dohc 16v station wagon 5p. t/a motor diesel",-,2013-01-10,,-,-,2710.0,-,-,,-,-,-,,,-,A,-,-,10.5,-,-,-,station wagon,2.5,11.8,-,1815,,-,-,8.8,-,,,0.25684,5.082,euro 5,-,0.21426,-,-,,mmc chile s.a.,-,mc3d,,-,2800,,-,-,0.00383,-,combustion,-,252.0,-,-,0.2318,-,,C.H. 3311,-,-,-,mitsubishi,,,-,,,,-,-,-,diesel,-,,,,,-,2013,ice,mediano,9.14,252.0,0.0,0.001915,0.0,0.0,0.0,0.25684,0.0,0.0,0.10713,0.0,0.1159,,
26,SH4943E41112S,-,"sy1020 1,0 lts. sohc pick up cabina simple 2p. t/m motor otto",-,2013-01-10,,-,-,1820.0,-,-,,-,-,-,,,-,M,-,-,13.4,-,-,-,camioneta,1,16.1,-,-,,-,-,10.4,-,,,,-,euro 4,-,0.0362,-,-,,Comercial Motores de los Andes SPA,-,cc1o,0.096,-,-,,-,-,,-,combustion,-,178.0,-,-,0.3428,-,,C.H. 3312,-,-,-,shineray,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.4,178.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0181,0.0,0.1714,76.005.909-9,ANDE760059099
27,SH4943E41112S,-,"sy6390 1,0 lts. sohc furgon 5p. t/m motor otto",-,2013-01-10,,-,-,1820.0,-,-,,-,-,-,,,-,M,-,-,13.4,-,-,-,furgon,1,16.1,-,-,,-,-,10.4,-,,,,-,euro 4,-,0.0362,-,-,,Comercial Motores de los Andes SPA,-,cc1o,0.096,-,-,,-,-,,-,combustion,-,178.0,-,-,0.3428,-,,C.H. 3312,-,-,-,shineray,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.4,178.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0181,0.0,0.1714,76.005.909-9,ANDE760059099
28,RR4961E5061400-1,-,"phantom 6,7 lts. dohc coupe 2p. t/a motor otto",-,2013-01-11,,-,-,3050.0,-,-,,-,-,-,,,-,A,-,-,6.8,-,-,-,coupe,6.7,9.8,-,1987,,-,-,4.4,-,,,,6.59684,euro 5,-,0.0299,-,-,,Williamson Balfour Motors SPA,-,mc3o,0.0498,-,3320,,-,-,,-,combustion,-,347.0,-,-,0.6257,-,,C.H. 3313,-,-,-,rolls-royce,,,0.0432,,,,-,-,-,gasolina,-,,,,,-,2013,ice,mediano,6.8,347.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.01495,0.0,0.31285,96.695.420-5,WILL966954205
29,RR4961E5061401-4,-,"phantom 6,7 lts. dohc cabriolet 2p. t/a motor otto",-,2013-01-11,,-,-,3050.0,-,-,,-,-,-,,,-,A,-,-,6.8,-,-,-,cabriolet,6.7,9.8,-,1987,,-,-,4.4,-,,,,6.59684,euro 5,-,0.0299,-,-,,Williamson Balfour Motors SPA,-,mc3o,0.0498,-,3320,,-,-,,-,combustion,-,347.0,-,-,0.6257,-,,C.H. 3313,-,-,-,rolls-royce,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,mediano,6.8,347.0,0.0,0.0,0.0,0.0,0.0249,0.0,0.0,0.0,0.01495,0.0,0.31285,96.695.420-5,WILL966954205
30,DF4912E41112S,-,"joyear cross 1,6 lts. dohc station wagon 5p. 4x2 t/m motor otto",-,2013-01-11,,-,-,1625.0,-,-,,-,-,-,,,-,M,-,-,13.0,-,-,-,station wagon,1.6,15.4,-,1835,,-,-,10.3,-,,,,4.926975,euro 4,-,0.0155,-,-,,dfm s.a.,-,lpo,0.0695,-,2685,,-,-,,-,combustion,-,183.0,-,-,0.4528,-,,C.H. 3314,-,-,-,dfm,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.0,183.0,0.0,0.0,0.0,0.0,0.03475,0.0,0.0,0.0,0.00775,0.0,0.2264,,
31,DF4912E41112S,-,"joyear kl 1,6 lts. dohc station wagon 5p. 4x2 t/m motor otto",-,2013-01-11,,-,-,1625.0,-,-,,-,-,-,,,-,M,-,-,13.0,-,-,-,station wagon,1.6,15.4,-,1835,,-,-,10.3,-,,,,4.926975,euro 4,-,0.0155,-,-,,dfm s.a.,-,lpo,0.0695,-,2685,,-,-,,-,combustion,-,183.0,-,-,0.4528,-,,C.H. 3314,-,-,-,dfm,,,-,,,,-,-,-,gasolina,-,,,,,-,2013,ice,liviano,13.0,183.0,0.0,0.0,0.0,0.0,0.03475,0.0,0.0,0.0,0.00775,0.0,0.2264,,
